timestamp,open,high,low,close,volume
2026-01-05 09:15:00,26000,26030,25980,26020,12000
2026-01-05 09:20:00,26020,26050,26000,26040,13500
2026-01-05 09:25:00,26040,26070,26010,26060,14200
2026-01-05 09:30:00,26060,26080,26030,26035,11800
2026-01-05 09:35:00,26035,26045,25990,26000,15400
2026-01-05 09:40:00,26000,26020,25950,25970,16700
2026-01-05 09:45:00,25970,26000,25940,25955,17300
2026-01-05 09:50:00,25955,25980,25920,25930,18000
2026-01-05 09:55:00,25930,25960,25900,25915,19500
2026-01-05 10:00:00,25915,25940,25880,25895,20100
2026-01-05 10:05:00,25895,25920,25870,25910,18700
2026-01-05 10:10:00,25910,25950,25890,25940,16200
2026-01-05 10:15:00,25940,25980,25920,25970,15100
2026-01-05 10:20:00,25970,26010,25950,26000,14900
2026-01-05 10:25:00,26000,26040,25980,26030,15600
2026-01-05 10:30:00,26030,26060,26000,26050,16200
2026-01-05 10:35:00,26050,26080,26020,26070,17500
2026-01-05 10:40:00,26070,26090,26040,26055,18100
2026-01-05 10:45:00,26055,26070,26010,26020,19300
2026-01-05 10:50:00,26020,26040,25980,25990,20500
2026-01-05 10:55:00,25990,26010,25950,25965,21400
2026-01-05 11:00:00,25965,25990,25930,25945,22100
2026-01-05 11:05:00,25945,25980,25920,25970,21800
2026-01-05 11:10:00,25970,26020,25950,26010,20700
2026-01-05 11:15:00,26010,26050,25990,26040,19800
2026-01-05 11:20:00,26040,26080,26020,26070,18500
2026-01-05 11:25:00,26070,26100,26040,26090,17900
2026-01-05 11:30:00,26090,26120,26060,26110,17300
2026-01-05 11:35:00,26110,26130,26080,26100,16900
2026-01-05 11:40:00,26100,26120,26060,26075,17600
